,fecha,origen,destino,periodo,distancia,viajes
3821220,20200214,2807905,2807901,12,005-010,52.169
3821222,20200214,2807905,2807901,13,002-005,120.391
3821223,20200214,2807905,2807901,13,005-010,72.234
3821224,20200214,2807905,2807901,14,002-005,208.681
3821225,20200214,2807905,2807901,14,005-010,124.403
3821227,20200214,2807905,2807901,15,002-005,268.878
3821228,20200214,2807905,2807901,15,005-010,80.26
3821230,20200214,2807905,2807901,16,002-005,224.734
3821231,20200214,2807905,2807901,16,005-010,76.247
3821232,20200214,2807905,2807901,17,002-005,132.431
3821233,20200214,2807905,2807901,17,005-010,64.208
3821234,20200214,2807905,2807901,18,002-005,128.417
3821235,20200214,2807905,2807901,18,005-010,80.26
3821237,20200214,2807905,2807901,19,002-005,148.483
3821238,20200214,2807905,2807901,19,005-010,56.182
3821240,20200214,2807905,2807901,20,002-005,88.286
3821241,20200214,2807905,2807901,20,005-010,52.17
3821242,20200214,2807905,2807901,21,002-005,128.417
3821243,20200214,2807905,2807901,21,005-010,60.195
3821244,20200214,2807905,2807901,22,002-005,88.286
3821245,20200214,2807905,2807901,22,005-010,36.117
3821247,20200214,2807905,2807901,23,002-005,48.156
3821248,20200214,2807905,2807901,23,005-010,28.091
3821249,20200214,2807905,2807901,19,002-005,7.196
3821250,20200214,2807905,2807901,20,002-005,7.196
3821251,20200214,2807905,2807901,14,005-010,6.866
3821252,20200214,2807905,2807901,11,002-005,4.798
3821253,20200214,2807905,2807901,13,002-005,11.053
3821254,20200214,2807905,2807901,15,002-005,5.051
3821255,20200214,2807905,2807901,15,005-010,4.896
3821256,20200214,2807905,2807901,19,002-005,6.366
3821257,20200214,2807905,2807901,19,005-010,6.102
3821258,20200214,2807905,2807901,11,005-010,5.545
3821259,20200214,2807905,2807901,12,002-005,5.545
3821260,20200214,2807905,2807901,16,005-010,5.524
3821261,20200214,2807905,2807901,19,002-005,5.545
3821262,20200214,2807905,2807901,20,002-005,12.601
3821263,20200214,2807905,2807901,8,002-005,3.331
3821264,20200214,2807905,2807901,14,002-005,3.331
3821265,20200214,2807905,2807901,14,005-010,5.694
3821266,20200214,2807905,2807901,21,002-005,14.536
3821267,20200214,2807905,2807901,21,005-010,3.331
3821268,20200214,2807905,2807901,0,002-005,4.718
3821269,20200214,2807905,2807901,15,002-005,4.885
3821270,20200214,2807905,2807901,17,002-005,5.223
3821271,20200214,2807905,2807901,10,002-005,10.766
3821272,20200214,2807905,2807901,11,002-005,10.628
3821273,20200214,2807905,2807901,11,005-010,6.16
