,fecha,origen,destino,periodo,distancia,viajes
2702583,20200621,2807905,2807901,5,002-005,16.972
2702584,20200621,2807905,2807901,5,005-010,11.664
2702585,20200621,2807905,2807901,6,002-005,5.683
2702586,20200621,2807905,2807901,6,005-010,5.91
2702587,20200621,2807905,2807901,7,002-005,19.503
2702588,20200621,2807905,2807901,7,005-010,11.915
2702589,20200621,2807905,2807901,8,002-005,39.304
2702590,20200621,2807905,2807901,8,005-010,17.443
2702591,20200621,2807905,2807901,9,002-005,24.889
2702592,20200621,2807905,2807901,9,005-010,42.227
2702593,20200621,2807905,2807901,10,002-005,29.923
2702594,20200621,2807905,2807901,10,005-010,24.687
2702595,20200621,2807905,2807901,11,002-005,52.544
2702596,20200621,2807905,2807901,11,005-010,45.277
2702597,20200621,2807905,2807901,12,002-005,94.358
2702598,20200621,2807905,2807901,12,005-010,63.145
2702599,20200621,2807905,2807901,13,002-005,51.916
2702600,20200621,2807905,2807901,13,005-010,102.064
2702602,20200621,2807905,2807901,14,002-005,99.214
2702603,20200621,2807905,2807901,14,005-010,81.782
2702604,20200621,2807905,2807901,15,002-005,70.435
2702605,20200621,2807905,2807901,15,005-010,38.188
2702607,20200621,2807905,2807901,16,002-005,96.459
2702608,20200621,2807905,2807901,16,005-010,58.342
2702609,20200621,2807905,2807901,17,002-005,116.966
2702610,20200621,2807905,2807901,17,005-010,55.559
2702612,20200621,2807905,2807901,18,002-005,53.666
2702613,20200621,2807905,2807901,18,005-010,89.511
2702614,20200621,2807905,2807901,19,002-005,93.126
2702615,20200621,2807905,2807901,19,005-010,69.678
2702616,20200621,2807905,2807901,20,002-005,59.985
2702617,20200621,2807905,2807901,20,005-010,34.148
2702618,20200621,2807905,2807901,21,002-005,64.278
2702619,20200621,2807905,2807901,21,005-010,54.361
2702620,20200621,2807905,2807901,22,002-005,26.463
2702621,20200621,2807905,2807901,22,005-010,22.444
2702623,20200621,2807905,2807901,23,002-005,55.1
2702624,20200621,2807905,2807901,23,005-010,17.173
2702626,20200621,2807905,2807901,4,005-010,6.677
2702627,20200621,2807905,2807901,16,002-005,9.943
2702628,20200621,2807905,2807901,17,005-010,9.806
2702629,20200621,2807905,2807901,18,005-010,7.534
2702630,20200621,2807905,2807901,20,005-010,6.236
2702631,20200621,2807905,2807901,18,005-010,3.682
2702632,20200621,2807905,2807901,19,002-005,4.6
2702633,20200621,2807905,2807901,4,002-005,4.622
2702634,20200621,2807905,2807901,1,005-010,4.918
2702635,20200621,2807905,2807901,16,005-010,4.918
2702636,20200621,2807905,2807901,14,005-010,5.363
2702637,20200621,2807905,2807901,8,002-005,5.435
2702638,20200621,2807905,2807901,9,002-005,6.479
2702639,20200621,2807905,2807901,9,005-010,11.559
2702640,20200621,2807905,2807901,10,002-005,5.683
2702641,20200621,2807905,2807901,10,005-010,11.332
2702642,20200621,2807905,2807901,11,002-005,12.738
2702643,20200621,2807905,2807901,11,005-010,5.445
2702644,20200621,2807905,2807901,13,002-005,5.649
2702645,20200621,2807905,2807901,14,002-005,11.25
2702646,20200621,2807905,2807901,14,005-010,6.226
2702647,20200621,2807905,2807901,15,002-005,5.91
2702648,20200621,2807905,2807901,16,002-005,5.586
2702649,20200621,2807905,2807901,17,005-010,5.91
2702650,20200621,2807905,2807901,19,005-010,4.771
2702651,20200621,2807905,2807901,22,005-010,4.618
2702652,20200621,2807905,2807901,23,005-010,4.771
2702653,20200621,2807905,2807901,0,002-005,9.542
2702654,20200621,2807905,2807901,0,005-010,9.542
2702655,20200621,2807905,2807901,1,002-005,4.771
2702656,20200621,2807905,2807901,1,005-010,4.771
2702657,20200621,2807905,2807901,4,005-010,4.771
2702658,20200621,2807905,2807901,6,005-010,4.771
2702659,20200621,2807905,2807901,7,005-010,4.771
2702660,20200621,2807905,2807901,10,005-010,4.771
2702661,20200621,2807905,2807901,11,005-010,4.771
2702662,20200621,2807905,2807901,12,005-010,9.542
2702663,20200621,2807905,2807901,13,002-005,4.771
2702664,20200621,2807905,2807901,15,002-005,4.771
2702665,20200621,2807905,2807901,15,005-010,4.771
2702666,20200621,2807905,2807901,16,005-010,4.771
2702667,20200621,2807905,2807901,20,002-005,4.771
2702668,20200621,2807905,2807901,21,002-005,4.771
2702669,20200621,2807905,2807901,22,002-005,4.771
2702670,20200621,2807905,2807901,22,005-010,4.771
2702671,20200621,2807905,2807901,23,005-010,4.771
2702672,20200621,2807905,2807901,0,002-005,5.987
2702673,20200621,2807905,2807901,2,002-005,5.445
2702674,20200621,2807905,2807901,7,002-005,5.445
2702675,20200621,2807905,2807901,8,002-005,5.445
2702676,20200621,2807905,2807901,10,002-005,6.226
2702677,20200621,2807905,2807901,11,005-010,5.445
2702678,20200621,2807905,2807901,12,002-005,5.95
2702679,20200621,2807905,2807901,13,002-005,11.395
2702680,20200621,2807905,2807901,14,002-005,5.91
2702681,20200621,2807905,2807901,15,002-005,5.435
2702682,20200621,2807905,2807901,17,002-005,12.41
2702683,20200621,2807905,2807901,18,002-005,11.078
2702684,20200621,2807905,2807901,19,002-005,12.608
2702685,20200621,2807905,2807901,19,005-010,10.058
2702686,20200621,2807905,2807901,20,002-005,5.445
2702687,20200621,2807905,2807901,20,005-010,11.366
2702688,20200621,2807905,2807901,21,002-005,5.445
2702689,20200621,2807905,2807901,22,002-005,18.191
3302136,20200622,2807905,2807901,0,002-005,16.246
3302137,20200622,2807905,2807901,0,005-010,5.415
3302138,20200622,2807905,2807901,1,002-005,32.491
3302139,20200622,2807905,2807901,2,002-005,10.831
3302140,20200622,2807905,2807901,3,002-005,16.246
3302142,20200622,2807905,2807901,4,002-005,32.492
3302143,20200622,2807905,2807901,4,005-010,5.415
3302144,20200622,2807905,2807901,5,002-005,27.076
3302145,20200622,2807905,2807901,6,002-005,27.075
3302146,20200622,2807905,2807901,6,005-010,21.66
3302147,20200622,2807905,2807901,7,002-005,43.322
3302148,20200622,2807905,2807901,7,005-010,21.661
3302149,20200622,2807905,2807901,8,002-005,113.722
3302150,20200622,2807905,2807901,8,005-010,21.66
3302152,20200622,2807905,2807901,9,002-005,194.949
3302153,20200622,2807905,2807901,9,005-010,32.491
3302154,20200622,2807905,2807901,10,002-005,97.475
3302155,20200622,2807905,2807901,10,005-010,21.66
3302156,20200622,2807905,2807901,11,002-005,97.474
3302157,20200622,2807905,2807901,11,005-010,27.076
3302159,20200622,2807905,2807901,12,002-005,81.23
3302160,20200622,2807905,2807901,12,005-010,16.245
3302161,20200622,2807905,2807901,13,002-005,92.059
3302162,20200622,2807905,2807901,13,005-010,27.076
3302164,20200622,2807905,2807901,14,002-005,92.06
3302165,20200622,2807905,2807901,14,005-010,10.83
3302166,20200622,2807905,2807901,15,002-005,129.967
3302167,20200622,2807905,2807901,15,005-010,10.83
3302168,20200622,2807905,2807901,16,002-005,75.814
3302169,20200622,2807905,2807901,16,005-010,16.245
3302170,20200622,2807905,2807901,17,002-005,86.644
3302171,20200622,2807905,2807901,17,005-010,27.075
3302172,20200622,2807905,2807901,18,002-005,102.89
3302173,20200622,2807905,2807901,18,005-010,27.076
3302174,20200622,2807905,2807901,19,002-005,92.059
3302175,20200622,2807905,2807901,19,005-010,48.738
3302177,20200622,2807905,2807901,20,002-005,102.891
3302178,20200622,2807905,2807901,20,005-010,16.245
3302179,20200622,2807905,2807901,21,002-005,119.135
3302180,20200622,2807905,2807901,21,005-010,27.075
3302181,20200622,2807905,2807901,22,002-005,86.643
3302182,20200622,2807905,2807901,23,002-005,16.246
3302183,20200622,2807905,2807901,23,005-010,5.415
3302184,20200622,2807905,2807901,0,002-005,5.415
3302185,20200622,2807905,2807901,4,002-005,5.415
3302186,20200622,2807905,2807901,5,002-005,5.415
3302187,20200622,2807905,2807901,5,005-010,5.415
3302188,20200622,2807905,2807901,6,002-005,21.661
3302189,20200622,2807905,2807901,6,005-010,21.661
3302190,20200622,2807905,2807901,7,002-005,86.645
3302191,20200622,2807905,2807901,7,005-010,10.83
3302192,20200622,2807905,2807901,8,002-005,27.075
3302193,20200622,2807905,2807901,8,005-010,16.245
3302194,20200622,2807905,2807901,9,002-005,37.907
3302195,20200622,2807905,2807901,9,005-010,5.415
3302196,20200622,2807905,2807901,10,002-005,16.245
3302197,20200622,2807905,2807901,10,005-010,10.83
3302198,20200622,2807905,2807901,11,002-005,5.415
3302199,20200622,2807905,2807901,12,002-005,5.415
3302200,20200622,2807905,2807901,13,002-005,10.83
3302201,20200622,2807905,2807901,13,005-010,5.415
3302202,20200622,2807905,2807901,14,002-005,5.415
3302203,20200622,2807905,2807901,15,002-005,5.415
3302204,20200622,2807905,2807901,16,002-005,10.83
3302205,20200622,2807905,2807901,17,002-005,5.415
3302206,20200622,2807905,2807901,18,005-010,5.415
3302207,20200622,2807905,2807901,19,002-005,5.415
3302208,20200622,2807905,2807901,20,002-005,5.415
3302209,20200622,2807905,2807901,21,005-010,5.415
3302210,20200622,2807905,2807901,22,002-005,5.415
3302211,20200622,2807905,2807901,0,002-005,28.384
3302212,20200622,2807905,2807901,0,005-010,23.654
3302213,20200622,2807905,2807901,1,005-010,4.731
3302214,20200622,2807905,2807901,2,005-010,4.731
3302215,20200622,2807905,2807901,3,005-010,9.461
3302216,20200622,2807905,2807901,4,005-010,4.731
3302217,20200622,2807905,2807901,5,002-005,4.731
3302218,20200622,2807905,2807901,5,005-010,4.731
3302219,20200622,2807905,2807901,6,005-010,14.192
3302220,20200622,2807905,2807901,7,002-005,14.193
3302221,20200622,2807905,2807901,7,005-010,4.731
3302222,20200622,2807905,2807901,8,002-005,14.193
3302223,20200622,2807905,2807901,8,005-010,9.462
3302224,20200622,2807905,2807901,9,002-005,9.462
3302225,20200622,2807905,2807901,9,005-010,9.462
3302226,20200622,2807905,2807901,10,002-005,14.193
3302227,20200622,2807905,2807901,10,005-010,9.462
3302228,20200622,2807905,2807901,11,002-005,23.654
3302229,20200622,2807905,2807901,11,005-010,18.923
3302230,20200622,2807905,2807901,12,002-005,37.847
3302231,20200622,2807905,2807901,12,005-010,33.115
3302232,20200622,2807905,2807901,13,002-005,28.385
3302233,20200622,2807905,2807901,13,005-010,66.23
3302234,20200622,2807905,2807901,14,002-005,80.423
3302235,20200622,2807905,2807901,14,005-010,61.5
